id,web_name,full_name,team_name,position,status,price,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,saves,bonus,yellow_cards,red_cards,penalties_missed,penalties_saved,own_goals,bps,influence,creativity,threat,ict_index,form,points_per_game,ep_this,ep_next,selected_pct,in_dreamteam,tackles,recoveries,clearances_blocks_interceptions
623,Potts,Freddie Potts,West Ham,MID,a,4.4,10,282,0,0,0,5,0,0,0,0,0,0,0,59,60.4,78.5,2.0,14.0,1.8,1.7,1.8,1.8,0.6,False,9,12,17
319,Castagne,Timothy Castagne,Fulham,DEF,a,4.4,10,397,0,0,0,10,0,0,0,0,0,0,0,32,68.8,52.5,37.0,15.8,0.8,1.4,0.8,0.8,0.1,False,11,15,23
679,Hermansen,Mads Hermansen,West Ham,GKP,a,4.4,9,360,0,0,1,11,9,0,0,0,0,0,0,27,84.8,0.0,0.0,8.5,0.0,2.2,0.0,0.0,0.2,False,0,27,7
73,Smith,Adam Smith,Bournemouth,DEF,a,4.4,9,213,0,0,1,3,0,0,0,0,0,0,0,31,17.8,14.0,4.0,3.6,0.2,2.2,0.2,0.2,0.2,False,1,3,10
473,Hall,Lewis Hall,Newcastle,DEF,a,5.2,9,146,0,0,1,3,0,1,0,0,0,0,0,28,34.0,5.5,11.0,5.1,0.0,2.2,0.0,-0.5,0.7,False,7,10,9
686,Ngumoha,Rio Ngumoha,Liverpool,MID,a,4.5,9,30,1,0,0,1,0,0,0,0,0,0,0,37,39.2,22.7,25.0,8.8,0.2,2.2,0.2,0.7,0.5,False,1,0,0
276,Devenny,Justin Devenny,Crystal Palace,MID,a,4.3,9,157,0,0,0,3,0,0,0,0,0,0,0,33,16.2,31.4,73.0,12.1,0.2,1.1,0.2,0.2,1.1,False,7,11,1
720,Tolu,Tolu Arokodare,Wolves,FWD,a,5.5,9,208,0,0,0,8,0,0,0,0,0,0,0,25,13.4,16.4,71.0,9.8,0.8,1.3,0.8,0.8,0.1,False,1,3,8
239,Gittens,Jamie Bynoe-Gittens,Chelsea,MID,a,6.1,9,248,0,0,0,2,0,0,0,0,0,0,0,28,34.2,77.4,51.0,16.2,1.0,1.0,1.0,1.0,0.1,False,3,7,5
301,Alcaraz,Carlos Alcaraz Durán,Everton,MID,a,5.2,8,242,0,0,0,4,0,0,2,0,0,0,0,36,23.2,24.3,51.0,9.8,0.8,1.0,0.8,0.8,0.1,False,6,16,1
116,Hickey,Aaron Hickey,Brentford,DEF,a,4.0,8,253,0,0,0,4,0,0,1,0,0,0,0,29,24.8,5.6,29.0,6.0,0.5,1.3,0.5,0.5,0.3,False,6,13,8
697,Adli,Amine Adli,Bournemouth,MID,a,5.4,8,210,0,0,0,5,0,0,0,0,0,0,0,38,52.8,52.1,34.0,13.8,0.8,1.0,0.8,0.8,0.0,False,11,17,8
682,Møller Wolfe,David Møller Wolfe,Wolves,DEF,a,4.4,8,149,0,1,0,6,0,0,0,0,0,0,0,15,37.0,20.9,4.0,6.3,0.2,1.6,0.2,0.2,0.1,False,2,5,6
331,Cairney,Tom Cairney,Fulham,MID,a,4.9,8,196,0,0,0,5,0,0,1,0,0,0,0,31,14.6,35.1,22.0,7.3,1.0,1.1,1.0,1.0,0.0,False,1,9,3
511,Morato,Felipe Rodrigues da Silva,Nott'm Forest,DEF,a,4.4,8,438,0,0,0,9,0,0,3,0,0,0,0,38,93.4,5.5,3.0,10.2,0.2,1.3,0.2,-0.3,0.1,False,10,22,31
713,A.Jimenez,Álex Jiménez Sánchez,Bournemouth,DEF,a,4.5,8,409,0,0,1,10,0,0,4,0,0,0,0,43,63.8,35.0,22.0,12.1,1.8,1.0,1.8,1.8,0.0,False,11,16,15
551,Rigg,Chris Rigg,Sunderland,MID,a,4.8,8,186,0,0,1,0,0,0,0,0,0,0,0,23,9.0,25.6,7.0,4.3,1.0,1.3,0.0,1.0,0.0,False,4,6,2
621,Irving,Andy Irving,West Ham,MID,a,4.4,8,149,0,0,0,4,0,0,0,0,0,0,0,45,29.6,38.3,2.0,7.0,1.0,1.3,1.0,1.0,0.3,False,6,13,2
284,Nketiah,Eddie Nketiah,Crystal Palace,FWD,i,5.4,8,107,1,0,0,4,0,0,1,0,0,0,0,39,43.6,45.9,58.0,14.8,0.5,1.6,0.0,0.0,0.4,False,0,4,4
